,nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
102,KOTA CIREBON,308.37,TON PER HARI,2018
103,KOTA BEKASI,2858.6,TON PER HARI,2018
104,KOTA DEPOK,2272.07,TON PER HARI,2018
105,KOTA CIMAHI,592.62,TON PER HARI,2018
106,KOTA TASIKMALAYA,465.23,TON PER HARI,2018
107,KOTA BANJAR,128.34,TON PER HARI,2018
108,KABUPATEN BOGOR,2914.65,TON PER HARI,2019
109,KABUPATEN SUKABUMI,1003.64,TON PER HARI,2019
110,KABUPATEN CIANJUR,1115.81,TON PER HARI,2019
111,KABUPATEN BANDUNG,1334.12,TON PER HARI,2019
112,KABUPATEN GARUT,1144.01,TON PER HARI,2019
113,KABUPATEN TASIKMALAYA,753.06,TON PER HARI,2019
114,KABUPATEN CIAMIS,560.57,TON PER HARI,2019
115,KABUPATEN KUNINGAN,537.25,TON PER HARI,2019
116,KABUPATEN CIREBON,3.15,TON PER HARI,2019
117,KABUPATEN MAJALENGKA,515.7,TON PER HARI,2019
118,KABUPATEN SUMEDANG,436.96,TON PER HARI,2019
119,KABUPATEN INDRAMAYU,1071.05,TON PER HARI,2019
120,KABUPATEN SUBANG,1012.45,TON PER HARI,2019
121,KABUPATEN PURWAKARTA,384.43,TON PER HARI,2019
122,KABUPATEN KARAWANG,934.4,TON PER HARI,2019
123,KABUPATEN BEKASI,2590.0,TON PER HARI,2019
124,KABUPATEN BANDUNG BARAT,1124.5,TON PER HARI,2019
125,KABUPATEN PANGANDARAN,250.23,TON PER HARI,2019
126,KOTA BOGOR,620.55,TON PER HARI,2019
127,KOTA SUKABUMI,172.82,TON PER HARI,2019
128,KOTA BANDUNG,1575.73,TON PER HARI,2019
129,KOTA CIREBON,245.0,TON PER HARI,2019
130,KOTA BEKASI,2060.7,TON PER HARI,2019
131,KOTA DEPOK,1469.77,TON PER HARI,2019
132,KOTA CIMAHI,267.74,TON PER HARI,2019
133,KOTA TASIKMALAYA,291.6,TON PER HARI,2019
134,KOTA BANJAR,100.67,TON PER HARI,2019
135,KABUPATEN BOGOR,2977.0,TON PER HARI,2020
136,KABUPATEN SUKABUMI,1006.0,TON PER HARI,2020
137,KABUPATEN CIANJUR,1117.0,TON PER HARI,2020
138,KABUPATEN BANDUNG,1355.0,TON PER HARI,2020
139,KABUPATEN GARUT,1151.0,TON PER HARI,2020
140,KABUPATEN TASIKMALAYA,754.0,TON PER HARI,2020
141,KABUPATEN CIAMIS,564.0,TON PER HARI,2020
142,KABUPATEN KUNINGAN,540.0,TON PER HARI,2020
143,KABUPATEN CIREBON,1096.0,TON PER HARI,2020
144,KABUPATEN MAJALENGKA,518.0,TON PER HARI,2020
145,KABUPATEN SUMEDANG,438.0,TON PER HARI,2020
146,KABUPATEN INDRAMAYU,1077.0,TON PER HARI,2020
147,KABUPATEN SUBANG,1023.0,TON PER HARI,2020
148,KABUPATEN PURWAKARTA,388.0,TON PER HARI,2020
149,KABUPATEN KARAWANG,942.0,TON PER HARI,2020
150,KABUPATEN BEKASI,2258.0,TON PER HARI,2020
151,KABUPATEN BANDUNG BARAT,1135.0,TON PER HARI,2020
152,KABUPATEN PANGANDARAN,252.0,TON PER HARI,2020
153,KOTA BOGOR,567.0,TON PER HARI,2020
154,KOTA SUKABUMI,181.0,TON PER HARI,2020
155,KOTA BANDUNG,1630.0,TON PER HARI,2020
156,KOTA CIREBON,192.0,TON PER HARI,2020
157,KOTA BEKASI,1923.0,TON PER HARI,2020
158,KOTA DEPOK,1516.0,TON PER HARI,2020
159,KOTA CIMAHI,369.0,TON PER HARI,2020
160,KOTA TASIKMALAYA,285.0,TON PER HARI,2020
161,KOTA BANJAR,79.0,TON PER HARI,2020
162,KABUPATEN BOGOR,971.59,TON PER HARI,2021
163,KABUPATEN SUKABUMI,356.02,TON PER HARI,2021
164,KABUPATEN CIANJUR,355.69,TON PER HARI,2021
165,KABUPATEN BANDUNG,1489.04,TON PER HARI,2021
166,KABUPATEN GARUT,321.17,TON PER HARI,2021
167,KABUPATEN TASIKMALAYA,172.26,TON PER HARI,2021
168,KABUPATEN CIAMIS,159.41,TON PER HARI,2021
169,KABUPATEN KUNINGAN,405.76,TON PER HARI,2021
170,KABUPATEN CIREBON,242.52,TON PER HARI,2021
171,KABUPATEN MAJALENGKA,546.54,TON PER HARI,2021
172,KABUPATEN SUMEDANG,707.75,TON PER HARI,2021
173,KABUPATEN INDRAMAYU,792.48,TON PER HARI,2021
174,KABUPATEN SUBANG,739.6,TON PER HARI,2021
175,KABUPATEN PURWAKARTA,239.72,TON PER HARI,2021
176,KABUPATEN KARAWANG,614.61,TON PER HARI,2021
177,KABUPATEN BEKASI,1193.76,TON PER HARI,2021
178,KABUPATEN BANDUNG BARAT,201.09,TON PER HARI,2021
179,KABUPATEN PANGANDARAN,46.62,TON PER HARI,2021
180,KOTA BOGOR,719.72,TON PER HARI,2021
181,KOTA SUKABUMI,232.06,TON PER HARI,2021
182,KOTA BANDUNG,1529.04,TON PER HARI,2021
183,KOTA CIREBON,229.75,TON PER HARI,2021
184,KOTA BEKASI,1500.77,TON PER HARI,2021
185,KOTA DEPOK,1418.87,TON PER HARI,2021
186,KOTA CIMAHI,193.36,TON PER HARI,2021
187,KOTA TASIKMALAYA,295.87,TON PER HARI,2021
188,KOTA BANJAR,60.29,TON PER HARI,2021
189,KABUPATEN BOGOR,,TON PER HARI,2022
190,KABUPATEN SUKABUMI,,TON PER HARI,2022
191,KABUPATEN CIANJUR,,TON PER HARI,2022
192,KABUPATEN BANDUNG,,TON PER HARI,2022
193,KABUPATEN GARUT,,TON PER HARI,2022
194,KABUPATEN TASIKMALAYA,,TON PER HARI,2022
195,KABUPATEN CIAMIS,,TON PER HARI,2022
196,KABUPATEN KUNINGAN,,TON PER HARI,2022
197,KABUPATEN CIREBON,,TON PER HARI,2022
198,KABUPATEN MAJALENGKA,,TON PER HARI,2022
199,KABUPATEN SUMEDANG,,TON PER HARI,2022
200,KABUPATEN INDRAMAYU,,TON PER HARI,2022
201,KABUPATEN SUBANG,,TON PER HARI,2022
202,KABUPATEN PURWAKARTA,,TON PER HARI,2022
203,KABUPATEN KARAWANG,,TON PER HARI,2022
204,KABUPATEN BEKASI,,TON PER HARI,2022
205,KABUPATEN BANDUNG BARAT,,TON PER HARI,2022
206,KABUPATEN PANGANDARAN,,TON PER HARI,2022
207,KOTA BOGOR,,TON PER HARI,2022
208,KOTA SUKABUMI,,TON PER HARI,2022
209,KOTA BANDUNG,,TON PER HARI,2022
210,KOTA CIREBON,,TON PER HARI,2022
211,KOTA BEKASI,,TON PER HARI,2022
212,KOTA DEPOK,,TON PER HARI,2022
213,KOTA CIMAHI,,TON PER HARI,2022
214,KOTA TASIKMALAYA,,TON PER HARI,2022
215,KOTA BANJAR,,TON PER HARI,2022
216,KABUPATEN BOGOR,,TON PER HARI,2023
217,KABUPATEN SUKABUMI,,TON PER HARI,2023
218,KABUPATEN CIANJUR,,TON PER HARI,2023
219,KABUPATEN BANDUNG,,TON PER HARI,2023
220,KABUPATEN GARUT,,TON PER HARI,2023
221,KABUPATEN TASIKMALAYA,,TON PER HARI,2023
222,KABUPATEN CIAMIS,,TON PER HARI,2023
223,KABUPATEN KUNINGAN,,TON PER HARI,2023
224,KABUPATEN CIREBON,,TON PER HARI,2023
225,KABUPATEN MAJALENGKA,,TON PER HARI,2023
226,KABUPATEN SUMEDANG,,TON PER HARI,2023
227,KABUPATEN INDRAMAYU,,TON PER HARI,2023
228,KABUPATEN SUBANG,,TON PER HARI,2023
229,KABUPATEN PURWAKARTA,,TON PER HARI,2023
230,KABUPATEN KARAWANG,,TON PER HARI,2023
231,KABUPATEN BEKASI,,TON PER HARI,2023
232,KABUPATEN BANDUNG BARAT,,TON PER HARI,2023
233,KABUPATEN PANGANDARAN,,TON PER HARI,2023
234,KOTA BOGOR,,TON PER HARI,2023
235,KOTA SUKABUMI,,TON PER HARI,2023
236,KOTA BANDUNG,,TON PER HARI,2023
237,KOTA CIREBON,,TON PER HARI,2023
238,KOTA BEKASI,,TON PER HARI,2023
239,KOTA DEPOK,,TON PER HARI,2023
240,KOTA CIMAHI,,TON PER HARI,2023
241,KOTA TASIKMALAYA,,TON PER HARI,2023
242,KOTA BANJAR,,TON PER HARI,2023
